ref,adj,state
955.918,49707.8,0
931.317,632.871,0
899.637,215.749,0
875.288,533.749,0
852.849,584.586,0
831.314,586.872,0
798.322,-51.8412,0
742.374,-1311.34,0
680.772,-1717.12,0
616.776,-1964.69,0
577.554,-804.272,0
522.464,-1707.75,0
482.13,-1050.57,0
430.233,-1732.38,0
391.144,-1170.06,0
358.384,-919.088,0
335.034,-495.195,0
307.491,-759.904,0
279.025,-862.893,0
260.145,-421.326,0
235.403,-763.833,0
211.402,-774.736,0
191.936,-586.934,0
178.451,-314.774,0
166.192,-277.933,0
156.545,-166.657,0
145.136,-277.497,0
134.986,-234.845,0
124.749,-259.617,0
115.698,-218.423,0
107.842,-174.302,0
101.342,-119.535,0
100.492,161.297,0
97.8355,65.6586,0
92.0608,-101.768,0
87.6684,-41.4146,0
84.2173,-1.23616,0
81.4062,25.1554,0
78.5947,19.5305,0
76.9319,73.6549,0
76.2107,119.31,0
75.7477,131.306,0
76.2491,180.549,0
77.4955,220.301,0
79.2843,251.02,0
81.3168,267.282,0
83.5613,282.385,0
86.2833,311.728,0
89.4421,339.901,0
92.4593,338.868,0
96.9129,419.621,0
102.783,502.19,0
105.12,330.24,0
